name,address,imageUrl,lat,lng
솔지식당,제주특별자치도 제주시 노형동 월랑로 88,"../media/솔지식당.jpg",33.492258,126.472677
갯것이 식당,제주특별자치도 제주시 이도이동 319-3,"../media/갯것이 식당.jpg",33.503388,126.537144
식당 마요네즈,제주특별자치도 제주시 노형동 1068-5,"../media/식당 마요네즈.jpg",33.488848,126.478732
송림식당,제주특별자치도 제주시 연동 282-36,"../media/송림식당.jpg",33.487915,126.493011
단물식당,제주특별자치도 제주시 건입동 673-5,"../media/단물식당.jpg",33.516500,126.538825
앞뱅디식당,제주특별자치도 제주시 연동 선덕로 32,"../media/앞뱅디식당.jpg",33.485334,126.499958
마라도횟집,제주특별자치도 제주시 연동 262-10,"../media/마라도횟집.jpg",33.486743,126.489457
재벌식당,제주특별자치도 제주시 연동 도령로7길 20,"../media/재벌식당.jpg",33.490713,126.484343
미친부엌,제주특별자치도 제주시 삼도2동 1192-28,"../media/미친부엌.jpg",33.517065,126.523226
태광식당,제주특별자치도 제주시 용담1동 119,"../media/태광식당.jpg",33.512599,126.518852
코코분식,제주특별자치도 제주시 신성로 104,"../media/코코분식.jpg",33.496781,126.530085
현,제주특별자치도 제주시 노형동 1421-5,"../media/현.jpg",33.482364,126.477844
도남오거리식당,제주특별자치도 제주시 도남동 909,"../media/도남오거리식당.jpg",33.496537,126.526150
마모루,제주특별자치도 제주시 이도이동 1181-2,"../media/마모루.jpg",33.498902,126.531527
춘월맛집,제주특별자치도 제주시 도두항서길 5,"../media/춘월맛집.jpg",33.504855,126.466369
도두항,제주특별자치도 제주시 도두일동 2629,"../media/도두항.jpg",33.505595,126.465523
임성반점,제주특별자치도 제주시 용화로 57-1,"../media/임성반점.jpg",33.509455,126.509802
영화루,제주특별자치도 제주시 연동 사장길 15-1,"../media/영화루.jpg",33.484111,126.495884
Le boui boui,제주특별자치도 제주시 건입동 사라봉7길 32,"../media/Le boui boui.jpg",33.515367,126.539742
유일반점,제주시 제주특별자치도 광양7길 13,"../media/유일반점.jpg",33.500922,126.530750
산지물,제주특별자치도 제주시 건입동 1388-1,"../media/산지물.jpg",33.516251,126.527555
삼보식당,제주특별자치도 제주시 연동 293-23,"../media/삼보식당.jpg",33.486836,126.495353
솔지식당,제주특별자치도 제주시 이도이동 광양13길 14,"../media/솔지식당.jpg",33.499148,126.531707
진영식당,제주특별자치도 제주시 용담2동 630-5,"../media/진영식당.jpg",33.509705,126.506129
경일낙지,제주특별자치도 제주시 노형동 1291-3,"../media/경일낙지.jpg",33.488387,126.481075
Thai Wok,제주특별자치도 제주시 아라이동 신설로11길 2,"../media/Thai Wok.jpg",33.491360,126.543956
영성반점,제주특별자치도 제주시 진군길 1-1,"../media/영성반점.jpg",33.480972,126.481272
그란데,제주특별자치도 제주시 아라일동 인다6길 42,"../media/그란데.jpg",33.474925,126.547594
속골 음식점,제주특별자치도 서귀포시 호근동 1628,"../media/속골 음식점.jpg",33.241146,126.525719
솔삼춘,제주특별자치도 서귀포시 서홍동 1599-6,"../media/솔삼춘.jpg",33.262302,126.555558
와랑와랑,제주특별자치도 서귀포시 태평로 399-1,"../media/와랑와랑.jpg",33.244887,126.562924
삿뽀로우동집 동홍,제주특별자치도 서귀포시 동홍동 동홍동로26번길 8,"../media/삿뽀로우동집 동홍.jpg",33.257198,126.575850
법환성,제주특별자치도 서귀포시 법환동 392,"../media/법환성.jpg",33.239427,126.515163
만사성,제주특별자치도 서귀포시 서귀동 90-1,"../media/만사성.jpg",33.244971,126.569684
소반,제주특별자치도 서귀포시 서귀동 90-1,"../media/소반.jpg",33.251952,126.566154
교동짬뽕,제주특별자치도 서귀포시 정방동 494-3,"../media/교동짬뽕.jpg",33.246025,126.562201
바당동네,제주특별자치도 서귀포시 서귀동 433-1,"../media/바당동네.jpg",33.246698,126.561820
미르반점,제주특별자치도 서귀포시 대륜동 481-1,"../media/미르반점.jpg",33.244061,126.534215
SEOGWIPHO,제주특별자치도 서귀포시 서귀동 309-10,"../media/SEOGWIPHO.jpg",33.249506,126.559260
수희식당,제주특별자치도 서귀포시 서귀동 447,"../media/수희식당.jpg",33.245447,126.561391
범섬칼국수,제주특별자치도 서귀포시 이어도로 1039,"../media/범섬칼국수.jpg",33.244833,126.522185
혼차롱식개집,제주특별자치도 서귀포시 서귀동 257-8,"../media/혼차롱식개집.jpg",33.249683,126.565780
하찌,제주특별자치도 서귀포시 호근남로 180,"../media/하찌.jpg",33.245227,126.537184
제주해풍,제주특별자치도 서귀포시 서귀동 660-8,"../media/제주해풍.jpg",33.241026,126.561782
에스 데판야끼,제주특별자치도 서귀포시 호근서호로 62번길 40,"../media/에스 데판야끼.jpg",33.260683,126.532431
영춘반점,제주특별자치도 서귀포시 서홍동 중앙로 156,"../media/영춘반점.jpg",33.258326,126.560302
베이찡,제주특별자치도 서귀포시 이중섭로 11,"../media/베이찡.jpg",33.247270,126.564365
오스테리아 한,제주특별자치도 서귀포시 호근서호로 170,"../media/오스테리아 한.jpg",33.257503,126.523012
네거리식당,제주특별자치도 서귀포시 서귀동 319-8,"../media/네거리식당.jpg",33.248513,126.559376
안거리밖거리,제주특별자치도 서귀포시 서귀동 584-3,"../media/안거리밖거리.jpg",33.244272,126.564166
웅담식당,제주특별자치도 서귀포시 서귀동 584-3,"../media/웅담식당.jpg",33.249870,126.561054
